iter	RMSE
0	1.183773467
1	1.168393514
2	1.154435086
3	1.140147332
4	1.127129128
5	1.114654296
6	1.103608977
7	1.094326991
8	1.084562641
9	1.075502549
10	1.067303186
11	1.059310899
12	1.051666214
13	1.044690579
14	1.038039879
15	1.031461239
16	1.025769946
17	1.020452001
18	1.015541184
19	1.010646529
20	1.005829236
21	1.00151052
22	0.997241011
23	0.9930291242
24	0.9886429622
25	0.9846408376
26	0.9806675648
27	0.9771064005
28	0.9737900783
29	0.9705370044
30	0.9678436767
31	0.9651302445
32	0.9627663078
33	0.9592962512
34	0.9572056265
35	0.9547900352
36	0.9520385899
37	0.9493893842
38	0.945868607
39	0.9411831639
40	0.9387246531
41	0.9347508469
42	0.9309848629
43	0.9279591463
44	0.9260980863
45	0.9231282831
46	0.9216576256
47	0.9203701707
48	0.9191982876
49	0.918005284
50	0.9157226474
51	0.914529147
52	0.9124991063
53	0.9108850621
54	0.9089960285
55	0.9076599844
56	0.906748162
57	0.9046389042
58	0.9039071816
59	0.9032225757
60	0.9024904378
61	0.9016162724
62	0.9001715132
63	0.8994708174
64	0.8988021971
65	0.8981127886
66	0.8971269006
67	0.8964777349
68	0.8958579864
69	0.8946212924
70	0.8941367073
71	0.89371264
72	0.8917063435
73	0.8912336689
74	0.8903143087
75	0.8882905989
76	0.8878243406
77	0.8874640961
78	0.8866198774
79	0.885978708
80	0.8855692801
81	0.8851752557
82	0.8846454994
83	0.8838602986
84	0.8826887272
85	0.8816034666
86	0.8811900478
87	0.8803509221
88	0.8792048265
89	0.8774979356
90	0.876596403
91	0.8755953224
92	0.8744672418
93	0.8740104041
94	0.8732589295
95	0.8729464191
96	0.8715507867
97	0.8712610125
98	0.8709144835
99	0.870089247
100	0.868597133
101	0.8677281714
102	0.8673890105
103	0.8671061299
104	0.8657335572
105	0.8654343646
106	0.8649507119
107	0.8636687066
108	0.8633494524
109	0.8626283992
110	0.8615303492
111	0.8606220843
112	0.859445543
113	0.8585247784
114	0.8580565752
115	0.8570458652
116	0.8566552401
117	0.8564017195
118	0.8558534463
119	0.8556232955
120	0.8554424208
121	0.8544975422
122	0.8541511593
123	0.8528206921
124	0.8523082889
125	0.8513398965
126	0.8507122954
127	0.8497996645
128	0.8496235022
129	0.8493473377
130	0.8487160428
131	0.8481955564
132	0.847347237
133	0.846452985
134	0.8461143892
135	0.8459095292
136	0.8454599183
137	0.844749542
138	0.8445330018
139	0.844301894
140	0.8440044188
141	0.8432438396
142	0.8425204101
143	0.8423300374
144	0.8419529909
145	0.8414019676
146	0.8411696342
147	0.8406178358
148	0.8401028545
149	0.8398243178
150	0.839521836
151	0.839129038
152	0.8382596852
153	0.8381282855
154	0.8378571703
155	0.8376126905
156	0.8372724789
157	0.8371186866
158	0.8366195369
159	0.8358646616
160	0.8356250552
161	0.8352162517
162	0.8350645774
163	0.8347282215
164	0.8340214303
165	0.8335512157
166	0.8330996317
167	0.8329420457
168	0.8322099356
169	0.8319326133
170	0.8317547531
171	0.831513938
172	0.8314029502
173	0.8312039605
174	0.830855894
175	0.830677324
176	0.8300492306
177	0.8291632895
178	0.8285949492
179	0.8281729435
180	0.8279271456
181	0.8272410415
182	0.8271123887
183	0.826679604
184	0.8264041159
185	0.8262218668
186	0.8260700041
187	0.825950094
188	0.8256843594
189	0.8253794139
190	0.825125895
191	0.8249950578
192	0.8248113606
193	0.8245397864
194	0.8243337555
195	0.82409934
196	0.8239083784
197	0.8234673492
198	0.8231606619
199	0.822629497
200	0.8222388813
201	0.8219424982
202	0.8215014469
203	0.8213653048
204	0.8208213189
205	0.8203719085
206	0.8198702704
207	0.8197364352
208	0.8191076424
209	0.8185183248
210	0.8183634911
211	0.8181841138
212	0.818046747
213	0.8175045566
214	0.8174018088
215	0.8172331057
216	0.8167792096
217	0.8166471964
218	0.81649707
219	0.8159748606
220	0.8154439113
221	0.8150365918
222	0.8149036871
223	0.814442555
224	0.8140131916
225	0.8138207191
226	0.8136324104
227	0.8133319712
228	0.8131783343
229	0.8129336707
230	0.8126302686
231	0.8123074285
232	0.8121857221
233	0.8121027132
234	0.811766606
235	0.81151911
236	0.8114689083
237	0.8110854067
238	0.8106053131
239	0.8101390469
240	0.8099449873
241	0.8097445672
242	0.8095666578
243	0.8093080917
244	0.8090830588
245	0.8082187493
246	0.8078683845
247	0.8072921128
248	0.8071273697
249	0.806632982
250	0.8065426784
251	0.8061219153
252	0.8058906363
253	0.805491178
254	0.8051813585
255	0.8047930788
256	0.8046720897
257	0.804274551
